persona_id,display_name,full_name,role,tenure,office,category_id,category_name,category_full_name,group_id,group_name,description,core_needs,motivations,frustrations,category_tag,quote
"csp-sp-1","Strategic Sarah","","Senior Partner","15+ years","","csp","CSP","Client Service Professionals","csp-senior-partners","Senior Partners","A seasoned senior partner who leads major client engagements and drives firm strategy. Focuses on building long-term client relationships and mentoring the next generation of partners.","Strategic client growth | Firm governance | Talent development","Legacy building | Client impact | Revenue growth","Bureaucratic processes | Slow decision-making | Resource constraints","",""
"csp-sp-2","Visionary Victor","","Senior Partner","20+ years","","csp","CSP","Client Service Professionals","csp-senior-partners","Senior Partners","A visionary leader who champions innovation and digital transformation for clients. Known for thought leadership and industry expertise.","Innovation platforms | Industry insights | Cross-practice collaboration","Industry influence | Transformative impact | Knowledge sharing","Technology adoption gaps | Siloed practices | Market disruption","",""
"csp-sp-3","John","","Senior Partner","20+ years","London","csp","CSP","Client Service Professionals","csp-senior-partners","Senior Partners","A relationship-driven Senior Partner with 20+ years of tenure based in London. Values deep client trust and high-impact delivery above all. Prefers structured, in-person engagements and relies on EA support for technology and administrative tasks.","Delivering the highest impact for my clients | Creating a trustworthy client relationship | Minimizing the chaos in my life | Creating a balance between work and personal life – managing time | No waste of time on low-priority activities, reduce administration tasks | EA has pre-approved access to all required tools and technology","Drive the best client impact | Retention of our people | Growing the Firm and its people | Constantly learning and trying to respond to the changing world | To be innovative / groundbreaking | Pride in being part of leadership at McKinsey – it is prestigious | The success of the Firm benefits me | Preparing well for my retirement","Prefers the 'way it used to be' and resorts to 4 days on client by default | Difficulty utilizing technology – resorts to white glove support | No time to learn or read | Not technology compatible with clients | VC in offices differs from the one in the meeting rooms | Technology restrictions slow down work | Client uses technology not approved by McKinsey Cyber Security | Too many videoconferences – loses the personal aspects of in-person meetings","","I don't want the technology to be in the way of my relationship with the client."
"csp-p-1","Pragmatic Pete","","Partner","10-15 years","","csp","CSP","Client Service Professionals","csp-partners","Partners","A results-oriented partner who balances client delivery excellence with business development. Strong operational focus with a keen eye for quality.","Client satisfaction | Team utilization | Deal pipeline","Delivery excellence | Team growth | Revenue targets","Staffing challenges | Scope creep | Competing priorities","",""
"csp-p-2","Collaborative Clara","","Partner","12 years","","csp","CSP","Client Service Professionals","csp-partners","Partners","A collaborative partner who excels at cross-functional engagements and multi-practice solutions. Known for her ability to bring diverse teams together.","Cross-practice resources | Client relationship management | Knowledge sharing","Integrated solutions | Client success | Team synergy","Practice silos | Inconsistent tools | Communication gaps","",""
"csp-p-3","Collaborating Colleen","","Partner","12+ years","London","csp","CSP","Client Service Professionals","csp-partners","Partners","An opportunity-driven Partner based in London with 12+ years of tenure. Focused on developing client opportunities and building trustworthy relationships. Values up-to-date information, streamlined workflows, and intuitive tools that require little training.","Up to date client information | More time to pursue opportunities vs. find them, share them | Understand the vision for Opportunity Tool | An intuitive process that requires little training | A standardized process | Be able to work and seamlessly collaborate with teams through devices from anywhere, especially while traveling | Want to leverage technology to work more effectively by reducing the number of tools, organizing communication and simplifying workflows","Happy to provide updated information to direct counterpart or office/cell leader within a smaller cell | Excited to share what's going on in a smaller setting | Better collaboration with practice teams which in turn supports the growth and success of my own team | Growing the partner community – being sponsors, creating opportunity for others | Want to be appreciated for the work done – more motivated when there is a sign of recognition | Like to see what other Partners are working on","Lack of trust in providing information when it is unclear what/where the information will be used at a higher level | No transparency around client interaction/opportunity – no idea what is happening with Partners outside of her immediate region | Don't want outsiders knowing what I'm working on | Learning another tool will be time consuming | Continuously being inundated with information, calls, messages – difficult to keep track of things and find time to address everything | Spends a lot of time responding to many requests for expertise | Bothered by different methodologies being time consuming but also conflicts with not wanting a standardized process","","I want to develop client opportunities."
"csp-p-4","Inundated Ivan","","Partner","10+ years","Silicon Valley","csp","CSP","Client Service Professionals","csp-partners","Partners","A Partner based in Silicon Valley with 10+ years of tenure who is overwhelmed by email volume and communication sprawl. Works primarily with Know, Email, and Slack. Seeks more targeted, relevant communications and an easy way to manage distribution lists.","Organization to focus on the most relevant communications | Find the information I need | Quickly answer important communications | Know what is happening in areas that I care about | Easy way to remove myself from the distribution lists","Champion the Firm's mission to avoid communication sprawl | Provide relevant information to the respective group | Follow the Firm's risk guidelines – be a risk sherpa for my practice | Role model standards and best practices","I get too many emails | At risk for receiving emails with information that conflicts with my study | I'm getting lost in threads and don't know where I lend my expertise | My EA isn't included in a distribution list, so they aren't able to modify my calendar","","I am on so many groups and it was generated through whatever systems. There are just some emails that I don't need."
"csp-p-5","Structured Sasha","","Partner","10+ years","SFO","csp","CSP","Client Service Professionals","csp-partners","Partners","A structured Partner based in SFO with 10+ years of tenure who values email as her primary workflow but recognizes the value of technology adoption. Splits time between client's office and home office. Relies heavily on laptop, mobile, and tablet.","Share insights and documents internally or externally quickly and easily to keep work moving | Have the ability to speak with and problem solve with clients efficiently | Keep tools on limited platforms in order to limit switching communications methods while working | Communicate clearly with engagement teams to keep everyone on the same page – desire for asynchronous communication","Speed/ease of communications | Maintaining client satisfaction | Efficiency and confidentiality | Keeping pulse of the team","Not everyone you need to communicate with is on Slack – not all Partners are on Slack and there's no way to communicate with clients on Slack | You can't send files on Slack – forces you to switch between platforms | There's too much noise on Slack – too many channels and it's hard for a new user to navigate quickly","","I'm comfortable working the way that I have been for years. But I also know that there's value in using technology to lead and collaborate."
"csp-p-6","Willing William","","Partner","8+ years","New York","csp","CSP","Client Service Professionals","csp-partners","Partners","William Brown is a Partner based in New York with 8+ years of tenure who is striving to transition internal communications to Slack. Values seamless collaboration through devices from anywhere, especially while traveling. Actively adopts Box, Slack, and Zoom.","Build strong collaborative client relationships through ongoing communication and reduce need for co-location | Have easy access to the engagement teams to review ongoing work, engage in informal conversations, guide the problem solving and check the team health | Be able to work and seamlessly collaborate with teams through devices from anywhere, especially while traveling | Want to leverage technology to work more effectively by reducing the number of tools, organizing communication and simplifying workflows","Build stronger team and client relationships | Create more impact for clients and internal teams with less travel | Leverage visual cues and consensus features to drive alignment and outcomes","Firm technology and integrations don't cover all collaboration and leadership needs, internally and externally | Lack of firm-wide guiding principles on using technology creates difference in the way engagements teams operate | Firm's best practices on securing client information and communication don't always align with the client's preferred way of collaboration | Increasing clutter of information, documents and communication, which is difficult to organize based on his personal ways of working | Meeting best practices and education on collaborative features within Zoom | Conference room integration that allows for full use of Zoom collaboration features | One-touch dial-in usability and education on dial-in customization","","My days as an Associate or EM are not too far in the rear-view mirror."
"csp-em-1","Driven Derek","","Engagement Manager","5-8 years","","csp","CSP","Client Service Professionals","csp-engagement-managers","Engagement Managers","An ambitious engagement manager who drives day-to-day delivery and manages client expectations. Aspires to partner track while maintaining work-life balance.","Project management tools | Client communication | Career development","Career progression | Client impact | Skill development","Administrative overhead | Unclear career path | Workload management","",""
"csp-em-2","Methodical Maya","","Engagement Manager","6 years","","csp","CSP","Client Service Professionals","csp-engagement-managers","Engagement Managers","A detail-oriented engagement manager known for flawless project execution and risk management. Ensures quality deliverables and client satisfaction at every stage.","Quality frameworks | Risk management | Team coordination","Delivery excellence | Process improvement | Mentoring","Scope changes | Resource gaps | Last-minute requests","",""
"csp-a-1","Ambitious Alex","","Associate","2-4 years","","csp","CSP","Client Service Professionals","csp-associates","Associates","A high-performing associate eager to develop consulting skills and build client relationships. Actively seeks learning opportunities and stretch assignments.","Mentorship | Skill development | Meaningful project work","Career growth | Learning new industries | Making an impact","Repetitive tasks | Limited client exposure | Feedback delays","",""
"csp-a-2","Analytical Aria","","Associate","3 years","","csp","CSP","Client Service Professionals","csp-associates","Associates","A data-savvy associate who brings analytical rigor to client engagements. Skilled in research, benchmarking, and synthesizing complex information into actionable insights.","Data tools | Research access | Analytical frameworks","Problem solving | Data-driven insights | Professional development","Data silos | Manual reporting | Unclear expectations","",""
"csp-an-1","Fresh Farhan","","Analyst","0-2 years","","csp","CSP","Client Service Professionals","csp-analysts","Analysts","A recently hired analyst keen to prove themselves and learn the consulting world. Brings fresh perspectives from academic training and is tech-savvy.","Onboarding support | Clear guidance | Learning resources","Career start | Skill building | Belonging","Steep learning curve | Ambiguous tasks | Imposter syndrome","",""
